"lang"
{ 
	"Language" "bulgarian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Авт. атака"
		"dac_ability_regen"														"Реген."

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"Пречупване на мана"
		"dac_ability_antimage_mana_break_Description"							"ПАСИВНО: Анти-магът изгаря {s:mana_per_hit} от маната на опонента при всяка атака. Нанасяйки 50% от изгорената мана като щети към целта. Изгаря {s:hype_per_hit} истерия, когато удря подземни лордове."
		"dac_ability_antimage_mana_break_Lore"									"Анти-магът е дошъл за мен… а аз ще бъда готов. — <i>Турат, беглец от имението Тайлър</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"Писъкът на болка"
		"dac_ability_queenofpain_scream_of_pain_Description"					"Кралицата на болката отприщва пронизителен писък около нея, който нанася щети върху близките врагове на разстояние до {s:radius} клетки за {s:damage} щети."
		"dac_ability_queenofpain_scream_of_pain_Lore"							"Акаша може и да не е близка приятелка, но на драго сърце ще ми помогне, ако мисли, че впоследствие ще може да се разпорежда с мен. — <i>Анессикс, прагматичен демон</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"Мълниеносно острие"
		"dac_ability_lina_laguna_blade_Description"								"Лина отприщва светкавична мълния, нанасяйки {s:damage} щети на една единица, възпламенявайки я за {s:fire_duration} секунди."
		"dac_ability_lina_laguna_blade_Lore"									"Не беше трудно склоним Лина да дойде до Белия Шпил, тъй като взаимно сме почитатели на своите творчества. — <i>Хобген, професионален подпалвач</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"Природният зов"
		"dac_ability_natures_prophet_summon_tree_Description"					"Nature's Prophet summons a Treant. This Treant is considered a druid. At 3 stars, the Treant spawns on the enemy's side of the board."
		"dac_ability_natures_prophet_summon_tree_Lore"							"Енно протегна ръка към своите малки горски приятели… това може да се окаже проблем. — <i>О'ния, прокудена търговка от Ревтел</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"Природният гняв"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"Природният пророк напада цел за {s:damage} щети. Това отскача {s:jumps} пъти през врагове на арената. Увеличавайки щетите с {s:increase_pct}% за отскок."
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"В действителност предназначението ми е излишно. Не Ви е нужно оръжие, за да убиете човек. Нуждаете се само от търпението, за да оставите природата да си свърши работата. — <i>Хрисима, изчисляваща като по часовник</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"Могъщ изстрел"
		"dac_ability_windrunner_powershot_Description"							"Ветровитата рейнджърка зарежда лъка си за {s:castPoint} секунди за един мощен изстрел, нанасяйки до {s:powershot_damage} щети. За всеки ударен враг от „Могъщия изстрел“, щетите от него се намаляват с {s:damage_reduction}%."
		"dac_ability_windrunner_powershot_Lore"									"Създадох много приятелства, докато пътешествах и не се притеснявам от връзките си за услуги. — <i>Врен, околосветска пътешественичка</i>"

		//WITCHDOCTOR
		"dac_ability_witch_doctor_paralyzing_cask"								"Парализираща бъчва"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"Witch Doctor throws a cask of paralyzing powder that bounces {s:bounces} times between enemy units, stunning and dealing {s:damage} damage to those it hits. At 3 stars, Witch Doctor also curses units hit by the cask for {s:health_interval} seconds, doing {s:damage_per_sec} damage per second. At the end, the unit takes an extra {s:damage_pct}% of all damage taken during the curse."
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"Обичам да гледам как работиш, докторе… — <i>Хобген, пакостлива мъжка фея</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"Остра ярост"
