"lang"
{ 
	"Language" "finnish" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Autoattack"
		"dac_ability_regen"														"Regen"

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"Mana Break"
		"dac_ability_antimage_mana_break_Description"							"PASSIIVINEN: Anti-Mage polttaa {s:mana_per_hit} vihollisen manaa jokaisella iskulla ja jakaa 50 % poltetusta manasta vahinkona kohteeseen. Se polttaa {s:hype_per_hit} hypeä osuessaan underlordiin."
		"dac_ability_antimage_mana_break_Lore"									"Anti-Mage on tullut noutamaan minut. Minä olen valmis. – <i>Turath, Tyler Estate -karkuri</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"Scream Of Pain"
		"dac_ability_queenofpain_scream_of_pain_Description"					"Queen of Pain päästää kimakan huudon, vahingoittaa kaikkia vihollisia {s:radius} ruudun säteellä ja tekee {s:damage} vahinkoa."
		"dac_ability_queenofpain_scream_of_pain_Lore"							"Akasha ei ole ehkä läheinen ystävä mutta auttaa mieluusti, jos hyötyy siitä myöhemmin. – <i>Anessix, käytännönläheinen demoni</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"Laguna Blade"
		"dac_ability_lina_laguna_blade_Description"								"Lina iskee salamalla ja tekee {s:damage} vahinkoa yhdelle yksikölle ja sytyttää sen palamaan {s:fire_duration} sekunniksi."
		"dac_ability_lina_laguna_blade_Lore"									"Lina oli helppo saada tulemaan Valkoiseen torniin. Arvostamme toistemme töitä. – <i>Hobgen, tuhopolton ammattilainen</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"Nature's Call"
		"dac_ability_natures_prophet_summon_tree_Description"					"Nature's Prophet kutsuu treantin. Treantti on druidi. Kun Nature's Prophet on 3 tähden sankari, treantti syntyy vihollisen puolelle pelilautaa."
		"dac_ability_natures_prophet_summon_tree_Lore"							"Enno on ottanut yhteyttä metsän eläimiin. Se voi tietää ongelmia. – <i>O'nia, Revtelin karkotettu kauppias</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"Wrath of Nature"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"Nature's Prophet iskee kipinää kohteeseen tehden {s:damage} vahinkoa. Tämä kimpoaa {s:jumps} kertaa pelilaudalla olevien vihollisten keskuudessa ja lisää vahinkoa {s:increase_pct} % kimpoamista kohti."
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"Totuus on, ettei minulla ole mitään virkaa. Et tarvitse asetta tappaaksesi miehen, sinun pitää vain odottaa kärsivällisesti, että luonto tekee tehtävänsä. – <i>Quiet, juonittelijarobotti</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"Powershot"
		"dac_ability_windrunner_powershot_Description"							"Windranger jännittää joustaan enintään {s:castPoint} sekunnin ajan, ampuu yhden tarkan nuolen ja tekee {s:powershot_damage} vahinkoa. Nuolen tekemä vahinko vähenee {s:damage_reduction} % jokaisesta osuman saaneesta vihollisesta."
		"dac_ability_windrunner_powershot_Lore"									"Sain matkoillani monta uutta ystävää enkä pelkää pyytää palveluksia. – <i>Wren, maailmanmatkaaja</i>"

		//WITCHDOCTOR
		"dac_ability_witch_doctor_paralyzing_cask"								"Paralyzing Cask"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"Witch Doctor viskaa tyrmäävää jauhetta sisältävän tynnyrin, joka ponnahtaa {s:bounces} kertaa vihollisten joukossa, lamauttaa ja tekee {s:damage} vahinkoa niille, joihin se osuu. Kolmen tähden Witch Doctor myös kiroaa {s:health_interval} sekunniksi yksiköt, joihin tynnyri on osunut, ja tekee {s:damage_per_sec} vahinkoa sekunnissa. Yksikkö ottaa lopuksi ylimääräisen {s:damage_pct} % kaikesta kirouksen aikana otetusta vahingosta."
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"On ilo seurata, kun teet töitä, Doc... – <i>Hobgen, kiusantekijäkeiju</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"Blade Fury"
		"dac_ability_juggernaut_blade_fury_Description"							"Juggernaut kieppuu tikarin kanssa, mikä tekee siitä taioille immuunin. Se aiheuttaa {s:damage} vahinkoa sekunnissa {s:radius} ruudun säteellä oleville vihollisille {s:duration} sekunnin ajan. Juggernaut saattaa myös alkaa kieppua välttääkseen loitsuhyökkäyksen."
