"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Ataque Automático"
		"dac_ability_regen"														"Regeneração"

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"Quebra de Mana"
		"dac_ability_antimage_mana_break_Description"							"PASSIVE: The Anti-Mage burns {s:mana_per_hit} of the opponent's mana on each attack, dealing 50% of the mana burned as damage to the target."
		"dac_ability_antimage_mana_break_Lore"									"O Antimago anda à minha procura... e eu estarei preparado. - <i>Turath, fugitivo da Mansão Tyler</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"Grito da Dor"
		"dac_ability_queenofpain_scream_of_pain_Description"					"A Rainha da Dor solta um grito torturante à sua volta, causando {s:damage} de dano a todos os inimigos dentro de até {s:radius} espaços de distância."
		"dac_ability_queenofpain_scream_of_pain_Lore"							"A Akasha pode não ser uma amiga próxima, mas ela vai ajudar-me de bom grado se pensar que lhe posso a ficar a dever mais tarde. - <i>Anessix, sempre pragmática</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"Lâmina Laguna"
		"dac_ability_lina_laguna_blade_Description"								"A Lina lança um raio fulminante que causa {s:damage} de dano a uma unidade, a qual ficará a arder durante {s:fire_duration} segundos."
		"dac_ability_lina_laguna_blade_Lore"									"Não foi difícil convencer a Lina a vir para Torre Branca, visto que somos fãs do trabalho um do outro. - <i>Hobgen, incendiário profissional</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"Chamamento da Natureza"
		"dac_ability_natures_prophet_summon_tree_Description"					"O Profeta da Natureza invoca um Treant. Este Treant é considerado um Druida. Se estiver a 3 estrelas, o Profeta da Natureza invoca o Treant no lado do tabuleiro do adversário."
		"dac_ability_natures_prophet_summon_tree_Lore"							"Enno chamou os seus amiguinhos da floresta... isso pode ser um problema. - <i>O'nia, comerciante banida de Revtel</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"Fúria da Natureza"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"O Profeta da Natureza lança um raio a um alvo, causando {s:damage} de dano. O raio ressalta {s:jumps} vezes entre inimigos no tabuleiro, causando mais {s:increase_pct}% de dano com cada ressalto."
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"A verdade é que o meu propósito é redundante. Não precisas de uma arma para matar um homem, tudo o que precisas é de paciência para deixar que a natureza siga o seu rumo. - <i>Quiet, autómata calculista</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"Disparo Poderoso"
		"dac_ability_windrunner_powershot_Description"							"Windranger charges her bow for up to {s:castPoint} seconds for a single powerful shot, dealing up to {s:powershot_damage} damage. For each enemy that Powershot hits, its damage is reduced by {s:damage_reduction}%. At 3 stars, at the start of charging her bow, Windranger gains {s:evasion}% evasion and becomes magic immune. This lasts for {s:evasion_duration} seconds."
		"dac_ability_windrunner_powershot_Lore"									"Fiz muitos amigos nas minhas viagens e não tenho medo de cobrar uns favores. - <i>Wren, viajante do mundo</i>"

		//WITCHDOCTOR
		"dac_ability_witch_doctor_paralyzing_cask"								"Pó Paralisante"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"Witch Doctor throws a cask of paralyzing powder that bounces {s:bounces} times between enemy units, stunning and dealing {s:damage} damage to those it hits. At 3 stars, Witch Doctor also curses units hit by the cask for {s:health_interval} seconds, doing {s:damage_per_sec} damage per second. At the end, the unit takes an extra {s:damage_pct}% of all damage taken during the curse."
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"Sou um grande fã do teu trabalho... - <i>Hobgen, perturbador da paz</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"Fúria da Lâmina"
		"dac_ability_juggernaut_blade_fury_Description"							"O Juggernaut rodopia com a sua espada, ficando imune a magia e causando {s:damage} de dano por segundo a todas as unidades inimigas a {s:radius} espaço de distância durante {s:duration} segundos. Ele pode também começar a rodopiar para evitar um ataque mágico."
		"dac_ability_juggernaut_blade_fury_Lore"								"O Yurnero é mais do que um guerreiro, ele é um <i>Juggernaut</i>. Se o tivermos do nosso lado, corpos vão começar a empilhar num instante. - <i>Grek a ponderar todas as opções</i>"

		//SANDKING
		"dac_ability_sandking_burrowstrike"										"Investida Subterrânea"
		"dac_ability_sandking_burrowstrike_Description"							"O Rei das Areias começa a escavar e avança, causando {s:damage} de dano aos inimigos atingidos e atordoando-os durante {s:stun_duration} segundos.<br>Aplica uma acumulação de Final Cáustico em todos os inimigos atingidos."
		"dac_ability_sandking_burrowstrike_Lore"								"Tivemos muito trabalho a estabelecer a nossa rede de túneis. Não podemos permitir que o Rei das Areias destrua o que construímos. - <i>Jull, barão do licor</i>"

		"dac_ability_sandking_caustic_finale"									"Final Cáustico"
		"dac_ability_sandking_caustic_finale_Description"						"PASSIVA: Sempre que o Rei das Areias atinge um inimigo, este fica envenenado durante {s:apply_duration} segundos. Quando a duração do veneno acaba, o inimigo explode, causando {s:damage_aoe} de dano e reduzindo a velocidade de ataque a todos os inimigos adjacentes em {s:attack_slow} durante {s:slow_duration} segundos. O dano é reduzido para metade se o alvo ainda estiver vivo."
		"dac_ability_sandking_caustic_finale_Lore"								"Vamos ter agora de meter aqui umas lonas por causa deste gajo? - <i>Anessix, infernalista asseada</i>"

		//SHADOW FRIEND
		"dac_ability_shadow_fiend_requiem"										"Réquiem das Almas"
		"dac_ability_shadow_fiend_requiem_Description"							"O Terror das Sombras reúne as almas dos condenados e liberta energia demoníaca à sua volta, causando {s:damage} de dano a todos os inimigos atingidos."
		"dac_ability_shadow_fiend_requiem_Lore"									"A Corte de Ristul e eu temos um... entendimento. - <i>Anessix, entidade demoníaca materializada</i>"

		//PHANTOM ASSASSIN
		"dac_ability_phantom_assassin_coup_de_grace"							"Coup de Grâce"
		"dac_ability_phantom_assassin_coup_de_grace_Description"				"PASSIVA: A Assassina Fantasma tem uma probabilidade de {s:crit_chance}% de desferir um golpe crítico de {s:crit_bonus}% em unidades inimigas."
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"Ela assassinou o Kwerthias, porque não deveria eu assumir que ela veio cá para me matar também? - <i>O'nia, comerciante paranoica</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"Aura de Precisão"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"PASSIVA: A Arqueira Drow concede um bónus de {s:bonus}% de velocidade de ataque a todos os aliados a {s:range} espaço de distância."
		"dac_ability_drow_ranger_trueshot_aura_Lore"							"Traxex. Tu e eu vamos chegar ao topo. Confia em mim. - <i>Grek, charlatão profissional</i>"

		//MORPHLING
		"dac_ability_morphling_waveform"										"Forma de Onda"
		"dac_ability_morphling_waveform_Description"							"O Morfídeo dissolve-se em líquido e lança-se para a frente, causando {s:damage} de dano a todos os inimigos no seu caminho.<br><br>O Morfídeo é invulnerável durante o uso de Forma de Onda."
		"dac_ability_morphling_waveform_Lore"									"A capacidade de Turath conseguir o favor de algo como o Morfídeo é... preocupante. - <i>Quiet, conspiradora mecânica</i>"

		//AXE
		"dac_ability_axe_berserkers_call"										"Grito do Berserker"
		"dac_ability_axe_berserkers_call_Description"							"O Axe provoca inimigos dentro de {s:radius} espaço de distância, obrigando-os a atacá-lo durante {s:duration} segundos. Enquanto esta habilidade estiver ativa, o Axe ganha mais {s:bonus_armor} de armadura."
		"dac_ability_axe_berserkers_call_Lore"									"Conseguir a ajuda do Axe é simples... só precisas de cerveja e de lhe prometer uma boa história que ele possa contar depois. - <i>Wren, rebelde entusiasta</i>" 

		"dac_ability_axe_culling_blade"											"Machado da Matança"
		"dac_ability_axe_culling_blade_Description"								"Se o alvo do Axe estiver abaixo de {s:target_percent_health_threshold}% de vida, ele mata-o instantaneamente. Com uma machadada."
		"dac_ability_axe_culling_blade_Lore"									"O Axe é MESMO bom a cortar pessoas ao meio - <i>Goodkind, trovadora do Axe</i>" 

		"dac_ability_axe_counter_helix"											"Contra-hélice"
		"dac_ability_axe_counter_helix_Description"								"Quando atacado, Axe tem uma probabilidade de {s:spin_chance}% de usar um contra-ataque em hélice, causando {s:spin_damage} de dano puro a todos os inimigos adjacentes."
		"dac_ability_axe_counter_helix_Lore"									"Deixei-o entrar uma vez no Lua Rachada... depois da luta no bar tive de remodelar o raio do espaço todo. - <i>Jull explica porque é que Axe não está autorizado a entrar mais no seu bar</i>" 

		//RAZOR
		"dac_ability_razor_plasma_field"										"Campo de Plasma"
		"dac_ability_razor_plasma_field_Description"							"O Razor liberta um círculo de plasma que aumenta de poder à medida que se expande, mas que também eletrocuta ao contrair-se, abrandando e causando até {s:damage_max} de dano a inimigos dentro de até {s:radius} espaços de distância.<br><br>O dano e o abrandamento aumentam quanto mais longe os inimigos estiverem do Razor.<br><br>O círculo atinge cada unidade duas vezes, uma de cada direção."
		"dac_ability_razor_plasma_field_Lore"									"Se achas que ele é assustador nas ruas de Torre Branca, devias ver o que ele faz no Labirinto Estreito. - <i>Anessix, fã de desportos</i>"

		//CRYSTAL MAIDEN
		"dac_ability_crystal_maiden_brilliance_aura"							"Aura Arcana"
		"dac_ability_crystal_maiden_brilliance_aura_Description"				"PASSIVA: A cada {s:interval} segundos, a Donzela Cristalina concede mais {s:mana_regen} de regeneração de mana a todas as unidades aliadas."
		"dac_ability_crystal_maiden_brilliance_aura_Lore"						"Descubram se ela está aqui por minha causa, ou por causa de Turath. - <i>Jull, contrabandista de Icewrack</i>"

		"dac_ability_crystal_maiden_frostbite"									"Congelamento"
		"dac_ability_crystal_maiden_frostbite_Description"						"Aprisiona um inimigo em gelo, impedindo-o de se deslocar e atacar, enquanto causa {s:damage} de dano por segundo ao longo de {s:duration} segundos. Os alvos afetados pelo Congelamento não podem ser curados."
		"dac_ability_crystal_maiden_frostbite_Lore"								"Muitas coisas acontecem em Torre Branca, por isso é normal quando alguma passa ao lado. Por exemplo, a Donzela Cristalina de Icewrack, que costumava sempre ajudar o próximo, agora só anda por aí a congelar pessoas, o que para mim é novidade. - <i>Carl, sempre o último a saber</i>"

		//KUNKKA
		"dac_ability_kunkka_ghostship"											"Navio Fantasma"
		"dac_ability_kunkka_ghostship_Description"								"Kunkka invoca um navio fantasma que navega pela batalha até colidir, causando {s:ability_damage} de dano e atordoando todos os inimigos num alcance de até {s:ghostship_crash_cells} espaços do local da colisão durante {s:stun_duration} segundos."
		"dac_ability_kunkka_ghostship_Lore"										"A Mamã Eeb tinha muitos amigos... o Kunkka quer respostas tanto quanto eu. - <i>Wren, filha vingativa</i>"

		//TINY
		"dac_ability_tiny_toss"													"Lançamento"
		"dac_ability_tiny_toss_Description"										"O Rocha agarra num inimigo adjacente aleatório e lança-o contra o inimigo mais distante.<br><br>O impacto causa {s:damage} de dano a todos os inimigos a {s:damage_radius} espaço de distância e atordoa-os durante {s:stun_duration} segundos."
		"dac_ability_tiny_toss_Lore"											"Parece que o Enno lá arranjou alguém com caparro. - <i>Grek encontra um grande problema</i>"

		//PUCK
		"dac_ability_puck_illusory_orb"											"Orbe Ilusório"
		"dac_ability_puck_illusory_orb_Description"								"O Puck lança um orbe mágico que flutua em linha reta, causando {s:damage} de dano a todos os inimigos no seu caminho."
		"dac_ability_puck_illusory_orb_Lore"									"Não te deixes enganar pela aparência dele, olha que o Puck é um valente sacana. - <i>Hobgen a dizer algumas palavras sábias</i>"

		"dac_ability_puck_phase_shift"											"Mudança de Fase"
		"dac_ability_puck_phase_shift_Description"								"<i>DESBLOQUEADA PELA ALIANÇA DE DRAGÕES</i><br>PASSIVA: Mesmo antes de sofrer dano, o Puck viaja para outra dimensão, onde fica imune a dano durante {s:shift_duration} segundos."
		"dac_ability_puck_phase_shift_Lore"										"Aquele sacana nunca está cá quando é preciso. - <i>Hobgen, sempre impaciente</i>"

		//CLOCKWERK
		"dac_ability_clockwerk_battery_assault"									"Ataque de Artilharia"
		"dac_ability_clockwerk_battery_assault_Description"						"O Mecanizado dispara estilhaços em inimigos aleatórios a {s:radius_in_cells} espaço de distância a cada {s:damage_tick} segundos e ao longo de {s:duration} segundos, causando {s:damage} de dano mágico e mini-atordoamento."
		"dac_ability_clockwerk_battery_assault_Lore"							"O Arauto de Latão chamar-te-ia abominação, mas eu considero-te bem esperto, pequeno Keen. - <i>Quiet, autómata herege</i>"

		//LICH
		"dac_ability_lich_chain_frost"											"Congelamento em Cadeia"
		"dac_ability_lich_chain_frost_Description"								"O Lich lança um orbe de gelo que ressalta até {s:jumps} vezes entre unidades inimigas próximas, reduzindo a sua velocidade de ataque e movimento em {s:slow_value}% durante {s:slow_duration} segundos e causando {s:damage} de dano sempre que acertar."
		"dac_ability_lich_chain_frost_Lore"										"Nós podemos ajudar-nos um ao outro, Lich. - <i>Turath a fazer um pacto faustiano</i>"

		"dac_ability_lich_3star"												"Lich 3 Star Effect"
		"dac_ability_lich_3star_Description"									"Lich gains Chain Frost. Lich releases an orb of frost that bounces between nearby enemy units up to {s:jumps} times, slowing their attack and movement speed by {s:slow_value}% for {s:slow_duration} seconds and dealing {s:damage} damage each time it hits."

		"dac_ability_lich_frost_shield"											"Frost Shield"
		"dac_ability_lich_frost_shield_Description"								"Lich applies a shield of ice to a random ally, reducing damage from attacks by {s:damage_resist_pct}. While the shield is active, enemy units within {s:radius} cell will take {s:damage_per_second} damage per second and lose {s:move_slow_pct}% Movement Speed and {s:attack_slow} Attack Speed. The shield lasts {s:duration} seconds."
		"dac_ability_lich_frost_shield_Lore"									"We can help each other Lich. - <I>In which Turath makes a Faustian deal</i>"

		//TIDEHUNTER
		"dac_ability_tidehunter_ravage"											"Devastação"
		"dac_ability_tidehunter_ravage_Description"								"O Caçador das Marés bate no chão e ergue tentáculos em todas as direções, causando {s:damage} de dano a todas as unidades inimigas dentro de até {s:cells} espaços de distância e atordoando-as durante {s:duration} segundos."
		"dac_ability_tidehunter_ravage_Lore"									"Kunkka, gostava mais de ti quando não andavas a ser perseguido por um Leviatã. - <i>Wren, amiga da onça</i>"

		//SHADOWSHAMAN
		"dac_ability_shadow_shaman_voodoo"										"Enfeitiçamento"
		"dac_ability_shadow_shaman_voodoo_Description"							"O Xamã das Sombras transforma uma unidade inimiga numa criatura inofensiva, impedindo-a de atacar e usar habilidades durante {s:duration} segundos."
		"dac_ability_shadow_shaman_voodoo_Lore"									"Aquele gajo é que sabe dar um espetáculo! - <i>Grek a mostrar cortesia profissional</i>"

		"dac_ability_shadow_shaman_mass_serpent_ward"							"Serpentes Sentinelas"
		"dac_ability_shadow_shaman_mass_serpent_ward_Description"				"O Xamã das Sombras invoca até 4 Serpentes Sentinelas à volta de um inimigo para aprisioná-lo. Se estiver a 3 estrelas, o Xamã das Sombras também enfeitiça o inimigo durante {s:duration}s."
		"dac_ability_shadow_shaman_mass_serpent_ward_Lore"						"Boas notícias rapaziada, vamos comer frango hoje! - <i>Hobgen, especialista em churrascos</i>"

		//ENIGMA
		"dac_ability_enigma_midnight_pulse"										"Pulsação da Meia-noite"
		"dac_ability_enigma_midnight_pulse_Description"							"O Enigma cobre de ressonância maligna uma área por baixo do inimigo com a vida máxima mais alta. Todos os inimigos a {s:radius} espaço de distância do alvo são abrandados em {s:slow_percent}% e sofrem dano idêntico a {s:damage_percent}% da vida máxima do inimigo durante {s:duration}s."
		"dac_ability_enigma_midnight_pulse_Lore"								"Existem algumas coisas neste mundo que não podes controlar. - <i>Turath, mago louco</i>"

		//TINKER
		"dac_ability_tinker_heat_seeking_missile"								"Míssil Termoguiado"
		"dac_ability_tinker_heat_seeking_missile_Description"					"O Engenhoso lança rockets a {s:targets} inimigos aleatórios, causando {s:damage_per_missile} de dano ao explodirem."
		"dac_ability_tinker_heat_seeking_missile_Lore"							"A Sociedade dos Keens Unidos vai ser um problema se não se fizer nada. - <i>O'nia tenta formar uma frente unificada</i>"

		//SNIPER
		"dac_ability_sniper_assassinate"										"Assassinar"
		"dac_ability_sniper_assassinate_Description"							"O Sniper faz pontaria a um inimigo e, após {s:castPoint} segundos, dispara um tiro devastador que causa {s:damage} de dano e mini-atordoamento. Underlords não podem ser selecionados como alvo."
		"dac_ability_sniper_assassinate_Lore"									"Sabes, eu costumava ter um número com Keens no início do meu espetáculo. Era muito bom para o público, muito mau para o seguro de responsabilidade. - <i>Grek a fazer contas à vida</i>"

		//NECROLYTE
		"dac_ability_necrophos_death_pulse"										"Pulsação da Morte"
		"dac_ability_necrophos_death_pulse_Description"							"O Necrofos solta uma onda de morte à sua volta, afetando inimigos e aliados num alcance de até {s:radius} espaços.<br><br>Causa {s:damage} de dano a inimigos e cura {s:heal} de vida a aliados."
		"dac_ability_necrophos_death_pulse_Lore"								"Vá lá Necrofos, tem de haver algo que tu queiras... - <i>Anessix, persuasora diabólica</i>"

		//SLARDAR
		"dac_ability_slardar_amplify_damage"									"Neblina Corrosiva"
		"dac_ability_slardar_amplify_damage_Description"						"Slardar modifies enemy armor by {s:armor_reduction} for {s:duration} seconds. At 3 stars, Slardar also bashes the target, dealing {s:bash_damage} Physical damage and stunning for {s:bash_duration} seconds."
		"dac_ability_slardar_amplify_damage_Lore"								"Se o Slark e eu conseguimos chegar a acordo, com certeza que também nós o conseguiremos. - <i>Jull, contrabandista de licor</i>"

		//BEASTMASTER
		"dac_ability_beastmaster_wild_axes"										"Machados Selvagens"
		"dac_ability_beastmaster_wild_axes_Description"							"O Mestre das Feras lança os seus machados e chama-os de volta, causando {s:axe_damage} de dano a todos os inimigos no seu caminho.<br><br>Cada machado só pode atingir um inimigo uma vez e amplifica o dano subsequente do Mestre das Feras em {s:damage_amp}%."
		"dac_ability_beastmaster_wild_axes_Lore"								"Mas quantos destes malucos pela natureza é que vão lutar por aquele minorca? - <i>Grek a queixar-se do Enno</i>"

		//VENOMANCER
		"dac_ability_venomancer_plague_ward"									"Sentinela Pestilenta"
		"dac_ability_venomancer_plague_ward_Description"						"O Venomante invoca {s:num_wards} Sentinela Pestilenta, que luta ao lado dele. Sentinelas Pestilentas aplicam acumulações de Veneno nos seus alvos e têm {s:ward_magic_resist}% de resistência a magia."
		"dac_ability_venomancer_plague_ward_Lore"								"As tuas criações são um regalo para os olhos. Deixa-me ajudar-te a cultivar o teu jardim... - <i>Turath apercebe-se que dar graxa é a chave para o sucesso</i>"

		"dac_ability_venomancer_venomous_gale"									"Rajada Venenosa"
		"dac_ability_venomancer_venomous_gale_Description"						"Lança uma bola de veneno numa linha reta; inimigos atingidos sofrem {s:projectile_damage} de dano mágico e são envenenados. Unidades afetadas perdem {s:movement_slow}% da velocidade de movimento e {s:attack_slow} de velocidade de ataque durante {s:tick_duration}s."
		"dac_ability_venomancer_venomous_gale_Lore"								"De maneira nenhuma! Se metermos este gajo no meio da arena, metade do público morre. Temos de arranjar alguém melhor... - <i>Grek a pensar num bom substituto para Sun Wukong</i>"

		"dac_ability_venomancer_poison_sting"									"Picada Venenosa"
		"dac_ability_venomancer_poison_sting_Description"						"PASSIVA: Cada ataque aplica uma acumulação de Veneno no alvo."
		"dac_ability_venomancer_poison_sting_Lore"								"Mantém-me essa coisa longe do Enno, mais veneno é a última coisa que aquele minorca precisa... - <i>Hobgen, pouco fã de ser envenenado</i>"

		//TEMPLAR ASSASSIN
		"dac_ability_templar_assassin_refraction"								"Refração"
		"dac_ability_templar_assassin_refraction_Description"					"A Assassina Templária torna-se evasiva, evitando dano e ganhando +{s:bonus_damage} de dano de ataque.<br><br>Os bónus de dano e de evasão são separados, cada um com {s:instances} instâncias."
		"dac_ability_templar_assassin_refraction_Lore"							"Se me ajudares, ficamos quites. - <i>Wren a tentar arranjar toda a ajuda que conseguir</i>"

		"dac_ability_templar_assassin_meld"										"Ataque Camuflado"
		"dac_ability_templar_assassin_meld_Description"							"PASSIVA: Depois de se teletransportar para o seu alvo, a Assassina Templária causa {s:damage} de dano adicional no seu primeiro ataque e reduz a armadura do alvo em {s:armor_debuff} durante {s:armor_debuff_duration} segundos."
		"dac_ability_templar_assassin_meld_Lore"								"Os teus talentos fazem de ti a escolha ideal para aquilo que tenho em mente. - <i>Anessix a fazer uma proposta de trabalho</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"Ataque Viperino"
		"dac_ability_viper_viper_strike_Description"							"O veneno ácido do Viper abranda a velocidade de movimento e ataque de um inimigo em {s:bonus_attack_speed}%, enquanto causa {s:damage} de dano venenoso ao longo do tempo.<br><br>O efeito abrandante diminui ao longo da duração do veneno."
		"dac_ability_viper_viper_strike_Lore"									"Não somos assim tão diferentes... eu também sei o que é a escravidão. - <i>Quiet, autómata conspiradora</i>"

		"dac_ability_viper_nethertoxin"											"Toxina Nefasta"
		"dac_ability_viper_nethertoxin_Description"								"Viper envenena um espaço no tabuleiro, causando {s:damage} de dano por segundo a qualquer unidade inimiga lá situada, prendendo-a ao chão e suprimindo-lhe todos os efeitos passivos."
		"dac_ability_viper_nethertoxin_Lore"									"Tem muito cuidado Slark, tentar roubar-me não vai acabar bem para ti. - <i>O'nia revela o seu novo guarda-costas</i> "

		"dac_ability_viper_corrosive_skin"										"Escamas Corrosivas"
		"dac_ability_viper_corrosive_skin_Description"							"<i>DESBLOQUEADA PELA ALIANÇA DE DRAGÕES</i><br>PASSIVA: O Viper liberta uma toxina infeciosa que aplica uma acumulação de Veneno e reduz em {s:attack_slow} a velocidade de ataque de qualquer inimigo que lhe causar dano durante {s:dot_duration}s. O ácido libertado também aumenta a resistência do Viper a magia em {s:magic_resistance}."
		"dac_ability_viper_corrosive_skin_Lore"									"Gostava de arranjar uma maneira de pegar nele e transformá-lo num casaco... <i>Carl, sonhador ambicioso</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"Glaives Lunares"
		"dac_ability_luna_moon_glaive_Description"								"PASSIVA: As armas da Luna ressaltam {s:bounces} vezes entre inimigos dentro de até {s:range} espaços de distância.<br><br>As armas causam menos {s:damage_reduction_percent}% de dano com cada ressalto."
		"dac_ability_luna_moon_glaive_Lore"										"Não entendo nem metade do que 'tás a dizer, mas gosto da maneira como atiras essas coisas. - <i>Grek, pessoa sociável</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"Sopro de Fogo"
		"dac_ability_dragon_knight_breathe_fire_Description"					"Unleashes a breath of fire in front of Dragon Knight that burns enemies for {s:damage} damage and reduces the damage their attacks deal by {s:attack_reduction}% for {s:duration} seconds and sets them on fire."
		"dac_ability_dragon_knight_breathe_fire_Lore"							"Davion, os teus talentos estão a ser desperdiçados em alguém que não aprecia a beleza do que fazes. - <i>Hobgen a tentar caçar talentos</i>"

		"dac_ability_dragon_knight_elder_dragon_form"							"Forma de Dragão Ancestral"
		"dac_ability_dragon_knight_elder_dragon_form_Description"				"<i>DESBLOQUEADA PELA ALIANÇA DE DRAGÕES</i><br>PASSIVA: No início do combate, o Cavaleiro Dragão assume a forma de um dos três poderosos dragões ancestrais, o que aumenta a sua velocidade de movimento em {s:bonus_movement_speed}% e o seu dano de ataque em {s:bonus_attack_damage}, para além de lhe conceder novos poderes.<br><br>Dragão verde:\nOs ataques causam {s:corrosive_breath_damage} de dano por segundo durante {s:corrosive_breath_duration} segundos e envenenam o alvo.<br><br>Dragão vermelho:\nAlém de envenenar inimigos, os ataques causam {s:splash_damage_percent}% de dano a todos os inimigos a {s:splash_radius} espaço de distância do alvo.<br><br>Dragão azul:\nAlém de envenenar inimigos, os ataques reduzem a velocidade de movimento em {s:frost_bonus_movement_speed}% e a velocidade de ataque em {s:frost_bonus_attack_speed}% de todos os inimigos a {s:frost_aoe} espaço de distância do alvo durante {s:frost_duration} segundos."
		"dac_ability_dragon_knight_elder_dragon_form_Lore"						"O Kaden falou muito bem de ti, vamos ver se tais louvores são merecidos. - <i>Wren, admiradora do Castelo do Dragão</i>"

		//ENCHANTRESS
		"dac_ability_enchantress_natures_attendants"							"Ajudantes da Natureza"
		"dac_ability_enchantress_natures_attendants_Description"				"A Encantadora invoca uma nuvem de {s:wisp_count} espiritozinhos que curam todos os aliados dentro de até {s:radius} espaços de distância.<br><br>Cura {s:heal} de vida a aliados a cada {s:heal_interval} segundos, ao longo de {s:duration} segundos."
		"dac_ability_enchantress_natures_attendants_Lore"						"Ela não vai aguentar nem um dia em Torre Branca. Nem. Um. Dia. - <i>Hobgen subestima a oposição</i>"

		//BOUNTY HUNTER
		"dac_ability_bounty_hunter_shuriken_toss"								"Shuriken"
		"dac_ability_bounty_hunter_shuriken_toss_Description"					"O Caçador de Recompensas lança uma shuriken fatal a uma unidade inimiga, causando {s:damage} de dano e mini-atordoando o alvo."
		"dac_ability_bounty_hunter_shuriken_toss_Lore"							"Desde que tenhas dinheiro, confia sempre num homem cuja lealdade esteja à venda. <i>O'nia e a sua sabedoria questionável</i>"

		//BATRIDER
		"dac_ability_batrider_sticky_napalm"									"Napalm Pegajoso"
		"dac_ability_batrider_sticky_napalm_Description"						"O Morcegal lança óleo flamejante e pegajoso a uma unidade, o que também afeta inimigos dentro de {s:radius} espaços de distância do alvo. O óleo adiciona {s:damage} de dano aos ataques do Morcegal contra inimigos afetados e abranda-lhes as velocidades de movimento e de ataque em {s:movement_speed_pct}%. Se o Morcegal estiver a 3 estrelas, estes inimigos também ficam a arder durante {s:fire_duration}s.<br><br>Utilizações adicionais de Napalm Pegajoso continuam a aumentar o dano e as percentagens de abrandamento ({s:max_stacks} vezes no máximo)."
		"dac_ability_batrider_sticky_napalm_Lore"								"Eu adoro este gajo. ADORO. - <i>Hobgen, piromaníaco</i>"

		//DOOM BRINGER
		"dac_ability_doom_bringer_doom"											"Condenação"
		"dac_ability_doom_bringer_doom_Description"								"O Doom invoca uma maldição que impede um inimigo de lançar feitiços ou usar itens, para além de lhe suprimir efeitos passivos e causar {s:damage} de dano por segundo.<br><br>Dura {s:duration} segundos."
		"dac_ability_doom_bringer_doom_Lore"									"Prefiro fazer os meus pactos com demónios metafóricos... - <i>O'nia opina sobre os aliados de Anessix</i>"

		//GYROCOPTER
		"dac_ability_gyrocopter_call_down"										"Lançamento Aéreo"
